"id","env","rating","yield","flower_start","flower_end","flower_average","strch_start","strch_end","growth"
"464","0","9.0","8","0","0","0","0","0","0"
"465","1","9.33","8","0","0","0","0","0","0"
"466","0","8.4","9","59","68","64","40","120","200"
"467","1","8.0","9","0","0","0","0","0","0"
"468","1","9.0","0","0","0","0","0","0","0"
"469","1","2.0","3","0","0","0","0","0","0"
"470","0","10.0","8","70","70","70","40","145","263"
"471","0","7.0","4","54","60","57","50","90","80"
"472","1","3.0","3","0","0","0","0","0","0"
"473","0","5.5","5.5","55","70","63","45","90","100"
"474","1","8.0","7.5","0","0","0","0","0","0"
"475","0","7.5","3","49","57","53","0","0","0"
"476","0","0.0","0","0","0","0","0","0","0"
"477","0","7.5","6.5","57","63","60","53","96","81"
"478","0","5.25","5.89","60","70","65","43","100","133"
"479","1","7.33","7.5","0","0","0","0","0","0"
"480","0","7.0","6","55","65","60","80","60","-25"
"481","0","10.0","7","73","87","80","0","0","0"
"482","0","5.0","7","50","60","55","0","0","0"
"483","0","8.44","7.36","62","72","67","56","111","98"
"484","0","4.0","2.67","66","77","72","50","118","136"
"485","0","7.71","8","56","69","62","39","101","159"
"486","1","9.0","8.5","0","0","0","0","0","0"
"487","0","6.0","7","61","65","63","20","25","25"
"488","0","4.8","4.2","70","74","72","20","70","250"
"489","1","8.0","7","0","0","0","0","0","0"
"490","0","6.5","6.5","65","80","73","28","110","293"
"491","0","0.0","0","90","90","90","10","8","-20"
"492","0","8.5","6.5","52","62","57","40","80","100"
"493","1","7.0","7","0","0","0","0","0","0"
"494","0","8.0","6","58","68","63","0","0","0"
"495","1","8.0","8","0","0","0","0","0","0"
"496","0","8.0","7","58","68","63","14","45","221"
"497","1","10.0","0","0","0","0","0","0","0"
"498","0","8.0","7","62","80","71","0","0","0"
"499","0","8.5","9","51","57","54","23","64","178"
"500","0","9.0","9","59","63","61","35","80","129"
"501","0","0.0","6","55","65","60","10","30","200"
"502","0","7.33","7.67","28","94","61","15","80","433"
"503","0","10.0","6","69","71","70","0","0","0"
"504","1","8.5","7.33","0","0","0","0","0","0"
"505","0","9.0","7","56","64","60","60","120","100"
"506","0","7.5","7.33","30","68","48","21","76","262"
"507","0","9.0","10","61","71","66","0","0","0"
"508","0","6.25","5.75","57","65","61","60","70","17"
"509","0","9.67","7","59","67","63","90","83","-8"
"510","0","8.0","7","49","63","56","30","60","100"
"511","0","8.13","7.43","57","66","62","22","70","218"
"512","0","9.29","7.92","56","61","58","21","83","295"
"513","1","9.25","7","0","0","0","0","0","0"
"514","0","8.75","6.2","58","62","60","34","88","159"
"515","0","8.0","5","53","67","60","0","0","0"
"516","0","9.0","0","0","0","0","0","0","0"
"517","0","0.0","9","68","72","70","28","90","221"
"518","0","9.0","0","0","0","0","0","0","0"
"519","0","10.0","5","55","55","55","0","0","0"
"520","0","10.0","10","50","60","55","60","80","33"
"521","0","0.0","4","56","64","60","25","120","380"
"522","0","6.5","8","63","71","67","0","0","0"
"523","0","5.0","4","0","0","0","0","0","0"
"524","0","7.25","5.55","67","73","70","41","83","102"
"525","1","6.5","6.5","0","0","0","0","0","0"
"526","0","7.0","7","55","62","58","56","122","118"
"527","0","8.25","7.5","59","66","63","39","48","23"
"528","0","9.25","8.11","56","66","61","34","80","135"
"529","1","9.0","5","0","0","0","0","0","0"
"530","0","9.0","9","49","56","52","21","65","210"
"531","0","8.63","6.5","57","63","60","36","93","158"
"532","1","9.0","9","0","0","0","0","0","0"
"533","0","8.0","8","70","74","72","0","0","0"
"534","0","7.0","5","0","0","0","0","0","0"
"535","0","8.0","7","50","60","55","40","90","125"
"536","0","6.0","6","53","60","56","21","64","205"
"537","1","9.0","8","0","0","0","0","0","0"
"538","0","8.0","7","54","62","58","0","0","0"
"539","0","8.0","0","55","65","60","0","0","0"
"540","0","7.69","7","45","63","54","31","75","142"
"541","1","9.0","0","0","0","0","0","0","0"
"542","0","9.0","7","55","80","68","0","0","0"
"543","0","8.5","6","65","75","70","30","130","333"
"544","0","8.0","6","53","60","56","24","69","188"
"545","0","8.0","8","63","69","66","51","80","57"
"546","1","7.0","6.5","0","0","0","0","0","0"
"547","0","9.0","6","69","71","70","0","0","0"
"548","0","6.0","4","55","65","60","0","0","0"
"549","0","8.38","7.88","51","61","56","34","95","179"
"550","1","9.0","8","0","0","0","0","0","0"
"551","0","5.7","5.6","55","62","58","33","95","188"
"552","1","7.0","7.5","0","0","0","0","0","0"
"553","0","9.0","0","0","0","0","0","0","0"
"554","0","8.5","7.78","56","63","59","30","70","133"
"555","1","8.33","6","0","0","0","0","0","0"
"556","0","9.0","8","67","76","71","35","130","271"
"557","0","9.0","9","48","62","55","0","0","0"
"558","0","9.0","9","64","72","68","28","120","329"
"559","0","9.0","8","55","65","60","50","150","200"
"560","0","8.0","7.4","65","73","69","29","68","134"
"561","0","9.0","3.5","62","82","72","20","75","275"
"562","0","7.5","8.5","53","68","61","0","0","0"
"563","1","4.0","2","0","0","0","0","0","0"
"564","0","7.0","8","45","55","50","0","0","0"
"565","0","0.0","0","0","0","0","0","0","0"
"566","0","4.0","5","73","73","73","53","80","51"
"567","0","7.75","8.5","52","59","55","70","138","97"
